1.530509643554687500e+02 2.226571273803710938e+01
1.619122314453125000e+02 2.971442031860351562e+01
1.536409454345703125e+02 1.687593841552734375e+01
1.352866821289062500e+02 -1.372136211395263672e+01
1.539903106689453125e+02 1.856306266784667969e+01
1.543772735595703125e+02 2.172099113464355469e+01
1.525151824951171875e+02 1.707532882690429688e+01
1.664179840087890625e+02 4.100468826293945312e+01
1.546735229492187500e+02 1.940201377868652344e+01
1.573183898925781250e+02 1.666188430786132812e+01
1.606376953125000000e+02 3.251742553710937500e+01
1.622606658935546875e+02 1.481586551666259766e+01
1.584537658691406250e+02 3.195688247680664062e+01
1.519748382568359375e+02 6.701192855834960938e+00
1.500882263183593750e+02 -2.297006130218505859e+00
1.582958221435546875e+02 1.590133666992187500e+01
1.668137512207031250e+02 3.659054183959960938e+01
1.691903686523437500e+02 3.437858963012695312e+01
1.634333496093750000e+02 2.923057746887207031e+01
1.477937164306640625e+02 1.545104598999023438e+01
1.606116180419921875e+02 2.288062858581542969e+01
1.560718383789062500e+02 1.179166603088378906e+01
1.538734588623046875e+02 5.515274524688720703e+00
1.579763488769531250e+02 2.282499313354492188e+01
1.524068145751953125e+02 1.787992286682128906e+01
1.586169281005859375e+02 2.185817909240722656e+01
1.633652954101562500e+02 3.413869476318359375e+01
1.659635620117187500e+02 3.677584075927734375e+01
1.636498260498046875e+02 3.692798995971679688e+01
1.548612976074218750e+02 2.590843582153320312e+01
1.555493469238281250e+02 1.970963478088378906e+01
1.428411407470703125e+02 4.445816516876220703e+00
1.591276702880859375e+02 2.004994583129882812e+01
1.490246124267578125e+02 1.131824779510498047e+01
1.512716674804687500e+02 1.382586479187011719e+01
1.658247680664062500e+02 3.225850296020507812e+01
1.651833190917968750e+02 3.286559295654296875e+01
1.581195983886718750e+02 1.438414382934570312e+01
1.534214935302734375e+02 2.944350814819335938e+01
1.496397094726562500e+02 1.074108886718750000e+01
1.575444641113281250e+02 1.968683242797851562e+01
1.640597381591796875e+02 2.602304077148437500e+01
1.501306304931640625e+02 2.513735961914062500e+01
1.575454711914062500e+02 1.393091773986816406e+01
1.567234954833984375e+02 2.337058639526367188e+01
1.621858673095703125e+02 2.814333343505859375e+01
1.669587402343750000e+02 3.421317672729492188e+01
1.580349731445312500e+02 2.109871292114257812e+01
1.592050476074218750e+02 2.327273750305175781e+01
1.593572235107421875e+02 3.222894287109375000e+01
1.615191345214843750e+02 3.472775268554687500e+01
1.556151733398437500e+02 2.060786819458007812e+01
1.617221069335937500e+02 2.108266258239746094e+01
1.693009490966796875e+02 3.620232009887695312e+01
1.515151977539062500e+02 1.357869243621826172e+01
1.624649047851562500e+02 2.242125320434570312e+01
1.534357757568359375e+02 1.002994441986083984e+01
1.520202178955078125e+02 8.418066978454589844e+00
1.651618347167968750e+02 2.663539886474609375e+01
1.543395080566406250e+02 2.879960060119628906e+01
1.591746215820312500e+02 1.894656753540039062e+01
1.571657867431640625e+02 2.766811180114746094e+01
1.585631103515625000e+02 2.922525978088378906e+01
1.541109313964843750e+02 1.304973602294921875e+01
1.491968994140625000e+02 -2.002130508422851562e+00
1.629438323974609375e+02 2.980305480957031250e+01
1.588986206054687500e+02 3.119437026977539062e+01
1.551995239257812500e+02 2.768019294738769531e+01
1.634930725097656250e+02 3.602432632446289062e+01
1.618839416503906250e+02 3.489785003662109375e+01
1.690563049316406250e+02 3.337588500976562500e+01
1.584399414062500000e+02 3.245736694335937500e+01
1.573438415527343750e+02 1.729047012329101562e+01
1.559517059326171875e+02 2.455494689941406250e+01
1.548768920898437500e+02 1.598187828063964844e+01
1.695347747802734375e+02 3.790871810913085938e+01
1.646605834960937500e+02 3.489697647094726562e+01
1.610006408691406250e+02 3.491564178466796875e+01
1.663427581787109375e+02 3.440959930419921875e+01
1.610085754394531250e+02 2.783790969848632812e+01
1.548748016357421875e+02 2.522344589233398438e+01
1.643692932128906250e+02 2.408545684814453125e+01
1.525170593261718750e+02 1.529197502136230469e+01
1.519815368652343750e+02 1.960423660278320312e+01
1.606420440673828125e+02 2.046516227722167969e+01
1.503987731933593750e+02 1.124299335479736328e+01
1.459433898925781250e+02 1.550907039642333984e+01
1.567604064941406250e+02 3.388665008544921875e+01
1.599724426269531250e+02 2.851957511901855469e+01
1.660847778320312500e+02 3.202497482299804688e+01
1.611968383789062500e+02 3.199854660034179688e+01
1.558375244140625000e+02 2.188024902343750000e+01
1.610599670410156250e+02 3.066690444946289062e+01
1.554563903808593750e+02 1.305505371093750000e+01
1.540506744384765625e+02 1.912825775146484375e+01
1.583931579589843750e+02 2.505717658996582031e+01
1.579945373535156250e+02 2.135433578491210938e+01
1.626312103271484375e+02 2.924880981445312500e+01
1.668224487304687500e+02 3.690280914306640625e+01
1.670081787109375000e+02 3.405821990966796875e+01
1.529494934082031250e+02 2.434825897216796875e+01
1.591087036132812500e+02 2.701960563659667969e+01
1.609832305908203125e+02 1.797426986694335938e+01
1.605077209472656250e+02 1.716650962829589844e+01
1.563111877441406250e+02 5.177542686462402344e+00
1.445582733154296875e+02 1.318754386901855469e+01
1.513422546386718750e+02 2.251097679138183594e+01
